               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086226,            0.028672,            0.014715,             0.72245,             0.36154,             0.28181,            0.094945,            0.073869,            0.020651,           0.0060537,            0.070265,           0.0033038,           0.0033038
                   1,             0.06624,            0.019573,           0.0051327,             0.32896,             0.64222,             0.44099,             0.18211,             0.06001,            0.015377,            0.003805,            0.040134,           0.0065058,           0.0065058
                   2,            0.057785,            0.015682,           0.0042117,             0.43004,             0.76833,              0.5978,             0.27377,            0.054457,            0.012373,           0.0036109,           0.0098707,           0.0095757,           0.0095757
                   3,            0.047813,            0.012802,            0.003588,             0.72066,               0.865,             0.81935,             0.43791,            0.039875,            0.010425,           0.0031979,            0.009406,            0.009406,            0.009406
                   4,            0.040127,            0.011418,           0.0030323,             0.91469,             0.93722,             0.93837,             0.55217,            0.032229,           0.0096094,           0.0027818,            0.009406,            0.009406,            0.009406
                   5,            0.035405,            0.010662,           0.0027249,             0.94032,             0.96393,             0.98742,             0.61983,            0.028832,           0.0092094,           0.0025642,            0.009208,            0.009208,            0.009208
                   6,            0.032439,           0.0097489,           0.0024572,             0.95327,             0.94667,             0.96867,             0.65809,             0.02711,           0.0087384,           0.0022819,             0.00901,             0.00901,             0.00901
                   7,            0.030648,           0.0097227,           0.0023136,             0.97674,             0.95606,              0.9878,             0.67379,            0.025742,           0.0086901,           0.0022329,            0.008812,            0.008812,            0.008812
                   8,            0.028554,            0.009129,           0.0022416,             0.97112,             0.96454,             0.99176,             0.70518,            0.024759,           0.0081903,           0.0021844,            0.008614,            0.008614,            0.008614
                   9,            0.027174,           0.0087825,           0.0021064,              0.9878,             0.96667,             0.99168,             0.71212,            0.024086,           0.0084377,           0.0020765,            0.008416,            0.008416,            0.008416
                  10,            0.026271,           0.0087014,           0.0021315,             0.98701,             0.96728,             0.99119,             0.72611,            0.022218,           0.0081962,           0.0020939,            0.008218,            0.008218,            0.008218
                  11,            0.025154,           0.0082288,           0.0019854,             0.98629,             0.96006,             0.99104,             0.72705,            0.022944,           0.0083686,           0.0020107,             0.00802,             0.00802,             0.00802
                  12,             0.02389,           0.0081562,           0.0019468,             0.98754,             0.97075,             0.99289,             0.73838,            0.022024,           0.0078689,           0.0018553,            0.007822,            0.007822,            0.007822
                  13,            0.022813,           0.0080759,           0.0019248,             0.98607,             0.96646,             0.99064,             0.74692,            0.021152,           0.0078894,            0.001862,            0.007624,            0.007624,            0.007624
                  14,            0.022359,           0.0077525,           0.0017956,             0.97896,             0.97833,             0.99262,             0.71581,            0.022571,           0.0083341,           0.0018812,            0.007426,            0.007426,            0.007426
                  15,            0.021955,            0.007597,            0.001844,             0.98997,             0.96556,              0.9925,             0.77671,            0.019243,           0.0080581,           0.0017782,            0.007228,            0.007228,            0.007228
                  16,            0.020871,            0.007609,           0.0017153,             0.98483,             0.98137,             0.99304,             0.75725,            0.020164,           0.0073755,           0.0016832,             0.00703,             0.00703,             0.00703
                  17,            0.020463,           0.0074506,           0.0016386,             0.99486,             0.96885,             0.99322,             0.77342,            0.019146,           0.0075091,           0.0017159,            0.006832,            0.006832,            0.006832
                  18,            0.019871,           0.0072632,           0.0016373,             0.98779,             0.98398,             0.99382,             0.78404,            0.018135,           0.0073426,           0.0016202,            0.006634,            0.006634,            0.006634
                  19,            0.019671,           0.0072104,           0.0016174,             0.98921,             0.97602,             0.99312,             0.79095,            0.017877,           0.0071058,           0.0016396,            0.006436,            0.006436,            0.006436
                  20,            0.019151,           0.0070619,           0.0016626,             0.98939,             0.97516,             0.99294,             0.80606,            0.017312,            0.007068,           0.0016045,            0.006238,            0.006238,            0.006238
                  21,            0.018246,           0.0069669,           0.0015781,             0.99433,             0.97561,             0.99337,             0.77724,            0.018611,           0.0072276,           0.0015362,             0.00604,             0.00604,             0.00604
                  22,            0.018091,           0.0068927,           0.0014991,             0.98197,             0.97321,             0.99258,             0.78437,            0.018519,           0.0072991,           0.0015993,            0.005842,            0.005842,            0.005842
                  23,            0.017857,           0.0070701,           0.0015449,             0.98357,             0.97345,             0.99223,              0.7983,            0.017343,           0.0070061,           0.0015632,            0.005644,            0.005644,            0.005644
                  24,            0.017147,           0.0065817,           0.0015193,             0.99417,             0.97185,             0.99249,             0.80063,            0.017225,           0.0071014,           0.0014927,            0.005446,            0.005446,            0.005446
                  25,            0.016492,           0.0064885,           0.0014045,             0.99096,             0.98377,             0.99399,             0.80155,            0.016366,           0.0067963,           0.0014358,            0.005248,            0.005248,            0.005248
                  26,            0.016422,           0.0065843,           0.0014302,             0.99217,              0.9831,             0.99378,             0.81291,             0.01626,           0.0066139,           0.0014072,             0.00505,             0.00505,             0.00505
                  27,            0.015901,           0.0063961,           0.0013731,             0.98831,              0.9926,             0.99443,             0.81844,             0.01653,           0.0066283,            0.001408,            0.004852,            0.004852,            0.004852
                  28,            0.015501,           0.0063365,           0.0013307,             0.99359,             0.98222,             0.99419,             0.81521,            0.016118,           0.0065356,           0.0013461,            0.004654,            0.004654,            0.004654
                  29,            0.014976,             0.00612,           0.0013402,             0.99846,             0.97642,             0.99323,             0.81295,            0.016409,           0.0067022,           0.0014123,            0.004456,            0.004456,            0.004456
                  30,            0.014692,           0.0059946,           0.0012905,             0.99829,             0.97739,             0.99361,             0.80523,            0.016342,           0.0065691,           0.0013384,            0.004258,            0.004258,            0.004258
                  31,            0.014439,           0.0060413,           0.0013182,             0.99598,             0.98378,             0.99396,             0.81873,            0.015776,           0.0066587,            0.001305,             0.00406,             0.00406,             0.00406
                  32,            0.013783,           0.0057606,           0.0012382,             0.99521,             0.98056,             0.99437,             0.82144,            0.016155,           0.0065864,           0.0012884,            0.003862,            0.003862,            0.003862
